name,address,hours,lat,lng,rating,district
Парк Хаус,"Москва, Бесединское шоссе, вл15","ежедневно, 10:00–22:00",55.625148,37.761031,4.4,Южный административный округ
Южные Ворота,"Москва, МКАД, 19-й километр, вл20с1","ежедневно, 09:00–18:00",55.620838,37.783211,4.4,Южный административный округ
Братиславский,"Москва, Мячковский бульвар, 3А",nan,55.657954,37.751616,4.6,Юго-Восточный административный округ
Волна,"Москва, Братиславская улица, 14","ежедневно, 10:00–21:00",55.659433,37.754706,4.7,Юго-Восточный административный округ
Домашний,"Москва, Братиславская улица, 22","ежедневно, 10:00–23:00",55.655286,37.761841,3.9,Юго-Восточный административный округ
АссортиДа,"Москва, Паромная улица, 9к4","ежедневно, 09:00–21:00",55.636237,37.763248,4.3,Южный административный округ
Мегаком-интерьер,"Москва, Братиславская улица, 18, корп. 1","ежедневно, 10:00–20:00",55.657892,37.759578,4.0,Юго-Восточный административный округ
Марьинский пассаж,"Москва, Люблинская улица, 102А","ежедневно, 10:00–21:00",55.652255,37.742069,4.1,Юго-Восточный административный округ
Марьинский,"Москва, Новочеркасский бульвар, 57, корп. 1","ежедневно, 08:00–21:00",55.647815,37.741626,4.6,Юго-Восточный административный округ
"Садовод, корпус Б","Москва, МКАД, 14-й километр, 2, стр. 1","ежедневно, 06:00–18:00",55.652817,37.833742,4.4,Юго-Восточный административный округ
Торговый центр,"Москва, Братиславская улица, 16к2","ежедневно, 10:00–20:00",55.658395,37.757372,4.0,Юго-Восточный административный округ
Петровский,"Москва, улица Мусы Джалиля, 6, корп. 2","ежедневно, 08:00–23:00",55.628156,37.741413,4.8,Южный административный округ
Пруды,"Москва, улица Борисовские Пруды, 8А","ежедневно, 09:00–23:00",55.635169,37.736549,4.9,Южный административный округ
Марьино,"Москва, улица Перерва, вл31Б","ежедневно, 09:00–21:00",55.652878,37.72264,4.3,Юго-Восточный административный округ
Салют,"Москва, улица Верхние Поля, 56, стр. 11","ежедневно, 06:00–18:00",55.653493,37.822316,4.1,Юго-Восточный административный округ
Торговый комплекс,"Москва, МКАД, 19-й километр, вл20с1",nan,55.620206,37.784065,4.4,Южный административный округ
Белореченский,"Москва, Белореченская улица, 36, корп. 3","ежедневно, 10:00–22:00",55.661122,37.775801,4.9,Юго-Восточный административный округ
Смолл,"Москва, Шипиловская улица, 62А","ежедневно, 08:00–23:00",55.62222,37.750858,4.2,Южный административный округ
Престиж,"Москва, Мячковский бульвар, 13","ежедневно, круглосуточно",55.654489,37.756911,3.7,Юго-Восточный административный округ
Брайт,"Москва, улица Перерва, 45","ежедневно, круглосуточно",55.659931,37.748663,3.8,Юго-Восточный административный округ
Магазин,"Москва, Люблинская улица, 163/1",пн-сб 10:00–21:00; вс 10:00–20:00,55.651146,37.744785,3.8,Юго-Восточный административный округ
Марьинский,"Москва, Люблинская улица, 112А, стр. 3","ежедневно, 08:00–23:00",55.650856,37.742588,4.7,Юго-Восточный административный округ
Экватор,"Москва, улица Перерва, 43","ежедневно, 10:00–22:00",55.659594,37.747783,3.2,Юго-Восточный административный округ
"Садовод, корпус А","Москва, МКАД, 14-й километр, 4","ежедневно, 06:00–18:00",55.652888,37.828712,3.9,Юго-Восточный административный округ
Шипиловский,"Москва, Шипиловская улица, 25А","ежедневно, 09:00–21:00",55.621696,37.726121,4.9,Южный административный округ
Галатея-Микс,"Москва, Новочеркасский бульвар, 41, корп. 1","ежедневно, 10:00–20:00",55.64804,37.735542,3.8,Юго-Восточный административный округ
Весна,"Москва, Юго-Восточный административный округ, район Капотня",nan,55.653843,37.82416,4.9,Юго-Восточный административный округ
